milestone_id,work_id,stage,captured_at,photo_phash,photo_exif_lat,photo_exif_lon,declared_category
MS000001,WRK00001,before,2021-10-13,37f8a88b17fc695a,26.927151,74.696495,Water Supply
MS000002,WRK00001,during,2021-11-27,d2f77d5dfec5ea47,26.926327,74.69662,Water Supply
MS000003,WRK00001,after,2022-02-10,2e2cb8506b17bd75,26.926508,74.695763,Water Supply
MS000004,WRK00002,before,2022-07-24,f50bea63371ecd7b,24.937484,80.311491,Drainage Works
MS000005,WRK00003,before,2021-03-30,3139d32c93cd59bf,26.974623,76.798355,Community Hall
MS000006,WRK00003,during,2021-05-28,af2c20ac953922c0,26.974905,76.798093,Community Hall
MS000007,WRK00004,before,2023-02-18,2bcfbe01a28defe3,24.507924,71.849126,Water Supply
MS000008,WRK00004,during,2023-04-09,65c62548b169fded,24.50872,71.849742,Water Supply
MS000009,WRK00005,before,2022-10-27,10f1bc81448aaa9e,24.993587,89.902606,Sports Facility
MS000010,WRK00006,before,2023-07-29,956269f0e5d7b875,22.681943,69.780916,Anganwadi Centre
MS000011,WRK00006,during,2023-09-12,0d5740850f0a6450,22.682053,69.781133,Anganwadi Centre
MS000012,WRK00006,after,2023-11-26,5ab383c9e88188c3,22.683007,69.78223,Anganwadi Centre
MS000013,WRK00007,before,2021-08-13,8da0365bf89897b9,17.36494,81.782625,Road Construction
MS000014,WRK00007,during,2021-10-10,40efa857015f566c,17.364646,81.781979,Road Construction
MS000015,WRK00008,before,2022-11-28,2dbc2134c30ff46e,23.024052,75.854677,Water Supply
MS000016,WRK00008,during,2023-01-12,f7d2a2ee21da5db1,23.02393,75.853693,Water Supply
MS000017,WRK00008,after,2023-03-28,42a279502deb5687,23.022891,75.854399,Water Supply
MS000018,WRK00009,before,2023-02-05,04fc6d827d154385,29.641294,77.58269,Library Building
MS000019,WRK00009,during,2023-03-22,513bb65c16f32b93,29.641827,77.582632,Library Building
MS000020,WRK00009,after,2023-06-05,1de95c7242a9f7e5,29.641257,77.583534,Library Building
MS000021,WRK00010,before,2021-06-11,8715a10343dac043,23.90601,75.306333,Road Construction
MS000022,WRK00010,during,2021-08-01,5c4fc55ebf715a28,23.906089,75.305466,Road Construction
MS000023,WRK00011,before,2023-02-04,38602ab696a402f2,18.107866,81.52848,Health Centre
MS000024,WRK00012,before,2021-05-26,3e3511287900f7f9,22.721526,86.342111,Road Construction
MS000025,WRK00012,during,2021-07-10,6f8ef978502171bd,22.721714,86.342192,Road Construction
MS000026,WRK00012,after,2021-09-23,7dc42f12fe9bd0e1,22.721529,86.341936,Road Construction
MS000027,WRK00013,before,2023-04-22,310c0c003fa7f104,27.653001,70.033647,Drainage Works
MS000028,WRK00014,before,2021-06-04,17e011b7f8102383,20.22265,73.411958,Street Lighting
MS000029,WRK00015,before,2023-04-02,b253d2186c4a37ea,27.731718,96.966018,Anganwadi Centre
MS000030,WRK00015,during,2023-05-17,7862246c092e44b7,27.731878,96.966791,Anganwadi Centre
MS000031,WRK00015,after,2023-07-31,1db3c0756fb9de37,27.732935,96.967151,Anganwadi Centre
MS000032,WRK00016,before,2021-04-30,f5f59b220e8fa8e0,30.450343,77.321896,School Building
MS000033,WRK00016,during,2021-05-22,7c3609088f942977,30.450366,77.320435,School Building
MS000034,WRK00017,before,2022-05-20,b758588dab73295b,30.225572,78.706618,Water Supply
MS000035,WRK00017,during,2022-06-18,48bbdb12de4097c3,30.225654,78.706742,Water Supply
MS000036,WRK00018,before,2021-05-29,3e896c64e117dac3,26.642834,70.66572,Health Centre
MS000037,WRK00018,during,2021-07-20,95eef45ca9c3640d,26.641957,70.666419,Health Centre
MS000038,WRK00019,before,2023-12-20,8da01097be0f051b,22.306901,82.219286,Library Building
MS000039,WRK00019,during,2024-01-09,eba0330c6a9a6f4b,22.306256,82.219593,Library Building
MS000040,WRK00020,before,2022-05-30,430f801dfad409e2,21.372983,68.12329,Water Supply
MS000041,WRK00020,during,2022-07-14,48c6a7ed06a574ec,21.37299,68.122971,Water Supply
MS000042,WRK00020,after,2022-09-27,5fa1846864e84ffc,21.372859,68.123388,Water Supply
MS000043,WRK00021,before,2021-11-02,e623a6895d59cd2a,28.202807,94.035177,Bridge Construction
MS000044,WRK00021,during,2021-12-17,75d1d77614c08f6d,28.202798,94.036002,Bridge Construction
MS000045,WRK00021,after,2022-03-02,a0dbfca2743cfb6b,28.202977,94.035896,Bridge Construction
MS000046,WRK00022,before,2022-12-26,698c206fe1a47e10,17.980102,75.088303,Water Supply
MS000047,WRK00022,during,2023-01-15,f36deb139f534d9a,17.98028,75.089668,Water Supply
