work_id,state,district,constituency,house,mp_name,work_title,category,implementing_agency,vendor_id,vendor_name,recommendation_date,sanction_date,estimated_cost_inr,sor_benchmark_cost_inr,expenditure_incurred_inr,completion_pct,days_stalled,work_status,latitude,longitude,photo_phash,photo_exif_lat,photo_exif_lon,declared_category_at_completion,milestone_count,anomaly_label
WRK-KER-00287,Kerala,Kozhikode,Kozhikode,Lok Sabha,Girish Joshi,Construction of Public Toilet Complex Panchayat East,Sanitation,Zilla Parishad Works Department,VEN-KER-004,Namma Engineering Works,2024-12-31,2025-01-17,2662589,2466819,1925518,75,152,In Progress,11.044842,76.518147,82b783d04b0b54d5,11.044494,76.519561,Sanitation,2,COMPLIANT
WRK-DEL-00634,Delhi,New Delhi,New Delhi,Lok Sabha,Kavita Tripathi,Repair of Village Approach Road Ward 4,Roads & Connectivity,District Rural Development Agency,VEN-DEL-002,Ganga Infrastructure Solutions,2024-03-24,2024-04-12,3980677,3593632,0,0,885,Stalled,28.372903,76.919035,b55d7f4394cdcacf,28.374887,76.917822,Roads & Connectivity,0,COMPLIANT
WRK-MIZ-00372,Mizoram,Aizawl,Aizawl,Lok Sabha,Naveen Deshmukh,Construction of Health Wellness Centre Panchayat West,Health Infrastructure,Zilla Parishad Works Department,VEN-MIZ-002,Deccan Builders & Co,2024-03-09,2024-03-23,459675,434614,443140,100,0,Completed,22.853387,92.910027,7362fc770f8755ed,22.85306,92.911068,Health Infrastructure,2,COMPLIANT
WRK-ASS-00071,Assam,Nagaon,Nagaon,Lok Sabha,Neha Bhatt,Installation of RO Drinking Water Unit Panchayat West,Drinking Water,Zilla Parishad Works Department,VEN-ASS-001,Nilgiri Construction Pvt Ltd,2024-11-21,2024-12-18,2520138,2655870,2445895,100,0,Completed,26.499486,93.290504,d1ea89e65e939f59,26.499178,93.292167,Drinking Water,2,COMPLIANT
WRK-JAM-00654,Jammu and Kashmir,Srinagar,Srinagar,Lok Sabha,Manoj Iyer,Panchayat Bhawan Renovation Ward 4,Community Infrastructure,Zilla Parishad Works Department,VEN-JAM-001,Ganga Electricals,2024-05-01,2024-05-23,2855218,3216889,1116364,40,507,Stalled,33.470667,76.270594,38c719e73cf3890c,33.47113,76.272208,Community Infrastructure,2,COMPLIANT
WRK-CHH-00115,Chhattisgarh,Bilaspur,Bilaspur,Lok Sabha,Pooja Nair,Vocational Training Centre Setup Panchayat West,Skill Development,Zilla Parishad Works Department,VEN-CHH-003,Deccan Waterworks Solutions,2024-10-25,2024-11-12,1336116,1507076,0,0,671,Stalled,21.662828,82.120802,e31673ebe0996a3b,21.664646,82.12202,Skill Development,0,COMPLIANT
WRK-TAM-00509,Tamil Nadu,Coimbatore,Coimbatore,Lok Sabha,Vikram Nair,Nala Deepening and Widening Colony Block A,Drainage,Zilla Parishad Works Department,VEN-TAM-001,Ganga Infra Projects,2023-11-24,2023-12-10,1291553,744115,1291553,100,0,Completed,11.250294,78.266485,e3b5bb6d44457ad6,11.249145,78.265365,Drainage,2,SOR_INFLATION
WRK-GOA-00135,Goa,South Goa,South Goa,Lok Sabha,Girish Mishra,Village Electrification Works Panchayat West,Electrification,Public Works Division,VEN-GOA-001,Malwa Developers,2024-10-28,2024-11-14,3046918,3409037,2234150,75,168,In Progress,15.366526,74.30001,01e346f317ce9f06,15.365707,74.298795,Electrification,2,COMPLIANT
WRK-JAM-00653,Jammu and Kashmir,Srinagar,Srinagar,Lok Sabha,Manoj Iyer,Construction of Community Hall Ward 4,Public Amenities,Municipal Corporation Engineering Wing,VEN-JAM-001,Ganga Electricals,2024-08-21,2024-09-16,1300885,1244746,506762,40,437,Stalled,34.003433,76.87736,d61eee18dc4908d3,34.002344,76.879085,Public Amenities,2,COMPLIANT
WRK-UTT-00561,Uttar Pradesh,Lucknow,Lucknow,Rajya Sabha,Manoj Tripathi,Installation of Solar Street Lighting Colony Block A,Electrification,Zilla Parishad Works Department,VEN-UTT-003,Kashi Builders & Co,2023-05-19,2023-06-03,400851,471501,231034,60,480,Stalled,26.824347,81.272986,a595a74b67daee4e,26.82275,81.271725,Electrification,2,COMPLIANT
WRK-UTT-00706,Uttarakhand,Dehradun,Dehradun,Lok Sabha,Vinod Rao,Drainage Canal Package C,Drainage,Panchayati Raj Engineering Dept,VEN-UTT-002,Sindhudurg Construction Pvt Ltd,2024-03-07,2024-03-23,990605,950980,495302,50,20,In Progress,30.117481,78.90275,281e015b014becb4,0,0,Drainage,1,TENDER_SPLITTING
WRK-CHH-00110,Chhattisgarh,Bilaspur,Bilaspur,Lok Sabha,Pooja Nair,Construction of Storm Water Drainage Ward 4,Drainage,Public Works Division,VEN-CHH-001,Vindhya Infrastructure Solutions,2023-08-19,2023-09-08,3643152,3672077,697625,20,882,Stalled,21.593205,81.577925,17e68e6914599f75,21.59493,81.577199,Drainage,2,COMPLIANT
WRK-MAD-00298,Madhya Pradesh,Indore,Indore,Rajya Sabha,Anil Chauhan,Construction of Health Wellness Centre Ward 4,Health Infrastructure,Public Works Division,VEN-MAD-005,Shivalik Electricals,2025-05-01,2025-05-24,3600616,3747829,2924538,10,0,In Progress,22.786053,78.289423,a062a8c2a168d4e7,22.784335,78.288639,Health Infrastructure,2,EXPENDITURE_PROGRESS_MISMATCH
WRK-UTT-00607,Uttarakhand,Nainital,Nainital,Lok Sabha,Ashok Naik,Renovation of Primary Health Sub-Centre Panchayat West,Health Infrastructure,Municipal Corporation Engineering Wing,VEN-UTT-002,Sindhudurg Construction Pvt Ltd,2025-01-28,2025-02-14,1403437,1545383,1245808,90,58,In Progress,30.312478,78.921786,5cf32cfc1bddd0a1,30.31152,78.919993,Health Infrastructure,2,COMPLIANT
